字段1,name,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14
https://yt3.ggpht.com/a/AGF-l7_pAUMBrwUj9lIAPzwKL1MKmb9q875ck73n2Q=s88-c-k-c0xffffffff-no-rj-mo,T-Series,"13,743","109,149,917","80,132,703,565",IN,Music,"Mar 13th, 2006",A++,1st,1st,1st,$729.7K - $11.7M,$8.8M - $140.1M
https://yt3.ggpht.com/a/AGF-l79wZ6qBUvS5bcIe_XVWu7cUdHEEZRUnK18Pcg=s88-c-k-c0xffffffff-no-rj-mo,Cocomelon - Nursery Rhymes,450,"57,589,567","36,543,911,279",US,Education,"Sep 1st, 2006",A++,8th,6th,2nd,$724.2K - $11.6M,$8.7M - $139M
https://yt3.ggpht.com/a/AGF-l781q8zs3cz_fY-pOJWwova6KjKIvh21M5uDrQ=s88-c-k-c0xffffffff-no-rj-mo,Câmeras Escondidas Programa Silvio Santos,"1,004","4,903,138","2,259,651,595",BR,Entertainment,"Nov 4th, 2013",A++,"1,521st","1,029th",3rd,$27.2K - $435.4K,$326.6K - $5.2M
https://yt3.ggpht.com/a/AGF-l7-hmOKbj0GCmESo33aNv0LU7xRD0179m--7BA=s88-c-k-c0xffffffff-no-rj-mo,Zee TV,"81,572","34,113,043","32,985,000,786",IN,Entertainment,"Dec 11th, 2005",A++,28th,7th,5th,$414.4K - $6.6M,$5M - $79.6M
https://yt3.ggpht.com/a/AGF-l78DPAXccWn_Vo9D9FdJ3bXiK8xkhb6MFYKFWg=s88-c-k-c0xffffffff-no-rj-mo,Like Nastya Vlog,294,"31,615,093","14,330,037,434",RU,People,"Dec 6th, 2016",A++,34th,82nd,6th,$242.6K - $3.9M,$2.9M - $46.6M
https://yt3.ggpht.com/a/AGF-l7_rrvu2vunZ4PEZ0fXnz78RaMK11j-Qrv1KZw=s88-c-k-c0xffffffff-no-rj-mo,SET India,"32,194","53,985,277","38,334,109,557",IN,Entertainment,"Sep 20th, 2006",A++,9th,2nd,7th,$428.1K - $6.9M,$5.1M - $82.2M
https://yt3.ggpht.com/a/AGF-l7_Ac1hbaoIX5kbqlDvGjW7ltsem37fhDKrgRg=s88-c-k-c0xffffffff-no-rj-mo,ABS-CBN Entertainment,"126,853","20,951,183","28,321,344,452",PH,Entertainment,"Jul 16th, 2008",A++,104th,9th,8th,$303.1K - $4.9M,$3.6M - $58.2M
https://yt3.ggpht.com/a/AGF-l78Fqw2O_7LmBzq4fKRx7T6P8tXAt7bxCRpfvg=s88-c-k-c0xffffffff-no-rj-mo,SAB TV,"24,829","22,689,361","20,195,821,260",IN,Entertainment,"Aug 4th, 2007",A++,84th,23rd,9th,$276K - $4.4M,$3.3M - $53M
https://yt3.ggpht.com/a/AGF-l788z_ZUqXrqW8qLNO-zITrOJmGlAjZiqIvVjg=s88-c-k-c0xffffffff-no-rj-mo,✿ Kids Diana Show,598,"33,396,641","11,694,717,971",US,Entertainment,"May 12th, 2015",A++,32nd,103rd,10th,$148.8K - $2.4M,$1.8M - $28.6M
https://yt3.ggpht.com/a/AGF-l78FfORhdn4_hbN5qrlhBH0YFpOSJRpXeN5Ghw=s88-c-k-c0xffffffff-no-rj-mo,La Virgen de Guadalupe Con Nosotros,"1,439","1,324,768","607,723,915",MX,Music,"Nov 15th, 2015",A+,"11,912th","5,071st",11th,$11K - $176.5K,$132.3K - $2.1M
https://yt3.ggpht.com/a/AGF-l7_C2tNqDMF7GlYc3QHq1Q5FNBCa-K0A5gVVYA=s88-c-k-c0xffffffff-no-rj-mo,Movieclips,"33,677","28,812,107","26,052,677,829",US,Film,"Apr 28th, 2006",A+,40th,10th,12th,$168K - $2.7M,$2M - $32.3M
https://yt3.ggpht.com/a/AGF-l79UlxHcihUOyCUgsaJqPy7nc4X3o1OilGANEQ=s88-c-k-c0xffffffff-no-rj-mo,Ghiền Phim,118,0,"1,080,240,509",US,Film,"Nov 17th, 2016",A+,"28,845,869th","33,346th",13th,$43.3K - $692.1K,$519K - $8.3M
https://yt3.ggpht.com/a/AGF-l78TSx-25XD6ClqXQDYI9Z4gn6Rq9eON1UCoFQ=s88-c-k-c0xffffffff-no-rj-mo,Vlad and Nikita,149,"25,520,462","10,250,059,503",US,,"Apr 23rd, 2018",A+,65th,124th,14th,$72.7K - $1.2M,$871.9K - $14M
https://yt3.ggpht.com/a/AGF-l7-o-FQ4aEdqCMNlLpCqpeF2kTtgTP33V8X5-g=s88-c-k-c0xffffffff-no-rj-mo,Zee Music Company,"4,179","42,068,261","19,353,538,622",IN,Music,"Mar 12th, 2014",A+,15th,20th,15th,$170.9K - $2.7M,$2.1M - $32.8M
https://yt3.ggpht.com/a/AGF-l78OAIxG47j2lbyuVCNK_YK-8-mBYiqtWv0U4w=s88-c-k-c0xffffffff-no-rj-mo,لا تحرمنا من رؤياك يا…,44,"2,368,462","166,194",MA,Tech,"Apr 13th, 2016",A+,"4,596th","16,845th",16th,$1 - $18,$14 - $219
https://yt3.ggpht.com/a/AGF-l7-JXrgTbV0Df7gzTZTTGi53X5pejNnn42R09g=s88-c-k-c0xffffffff-no-rj-mo,WWE,"43,011","47,477,237","34,977,544,252",US,Sports,"May 11th, 2007",A+,11th,3rd,17th,$207.4K - $3.3M,$2.5M - $39.8M
https://yt3.ggpht.com/a/AGF-l78zD7ggP1UrplNd190SyzMmNcKOSL67Y7S84g=s88-c-k-c0xffffffff-no-rj-mo,Lama Faché,796,"5,679,749","1,139,714,843",FR,Entertainment,"Feb 21st, 2016",A+,"1,192nd","1,889th",18th,$12.9K - $206.1K,$154.6K - $2.5M
https://yt3.ggpht.com/a/AGF-l7-3MPAlUOCiMTctlWwDpc7Q82qij22J5ZUjbA=s88-c-k-c0xffffffff-no-rj-mo,Toys and Colors,300,"14,916,915","9,374,216,938",US,Education,"Mar 17th, 2016",A+,210th,144th,19th,$95.6K - $1.5M,$1.1M - $18.4M
https://yt3.ggpht.com/a/AGF-l79pGu6-6u-Tqdso0SPsZMl9WOlAydFkfged2g=s88-c-k-c0xffffffff-no-rj-mo,one31,"69,173","18,310,420","13,370,627,384",TH,News,"Jan 10th, 2013",A+,144th,59th,21st,$117.4K - $1.9M,$1.4M - $22.5M
https://yt3.ggpht.com/a/AGF-l79UYVdnU4rI9eFJmir3DfTp4m8wGG9c-jvWSA=s88-c-k-c0xffffffff-no-rj-mo,Ryan ToysReview,"1,481","21,236,723","31,479,141,599",US,Entertainment,"Mar 17th, 2015",A+,102nd,4th,22nd,$157.8K - $2.5M,$1.9M - $30.3M
https://yt3.ggpht.com/a/AGF-l78upbUPgyQ8LSFNi6LAuEQ8n9Vler3wpeNETA=s88-c-k-c0xffffffff-no-rj-mo,Stacy Toys,212,"18,786,886","6,245,981,623",US,,"Nov 14th, 2017",A+,140th,274th,23rd,$59.8K - $956.2K,$717.2K - $11.5M
https://yt3.ggpht.com/a/AGF-l7_TIkFTbn3rR0WwWmqxxn1iKyMMlT2AWvu2tw=s88-c-k-c0xffffffff-no-rj-mo,Wave Music,"18,171","27,126,970","18,066,729,594",IN,Music,"Oct 29th, 2014",A+,47th,25th,25th,$147.3K - $2.4M,$1.8M - $28.3M
https://yt3.ggpht.com/a/AGF-l78VQWcwRS_IMwtQlDWE3QAuuJTbPjEA4g8TUQ=s88-c-k-c0xffffffff-no-rj-mo,netd müzik,"10,772","14,779,555","31,041,825,607",TR,Music,"Jan 23rd, 2014",A+,212th,5th,26th,$132.2K - $2.1M,$1.6M - $25.4M
https://yt3.ggpht.com/a/AGF-l79FVckie4j9WT-4cEW6iu3gPd4GivQf_XNSWg=s88-c-k-c0xffffffff-no-rj-mo,PewDiePie,"3,928","99,642,733","22,903,576,779",US,Entertainment,"Apr 29th, 2010",A+,3rd,11th,27th,$136K - $2.2M,$1.6M - $26.1M
https://yt3.ggpht.com/a/AGF-l78x3T7ChRLSqiVCXCphxYL7nBPfaSERNevWHw=s88-c-k-c0xffffffff-no-rj-mo,Badabun,"4,554","41,911,188","13,834,130,017",MX,Entertainment,"Oct 14th, 2014",A+,14th,49th,29th,$148.1K - $2.4M,$1.8M - $28.4M
https://yt3.ggpht.com/a/AGF-l79w7tPCOftbQI9v1KzZZlQMfuDlG9FSMFg4XA=s88-c-k-c0xffffffff-no-rj-mo,El Reino Infantil,753,"25,121,505","22,476,164,193",AR,Music,"Jun 2nd, 2011",A+,69th,12th,31st,$188.1K - $3M,$2.3M - $36.1M
https://yt3.ggpht.com/a/AGF-l78fUzdzcqZwMpmunw9hqnuwfP8iUMHcMZBpfg=s88-c-k-c0xffffffff-no-rj-mo,Solnishkam,33,"5,134,040","2,073,896,318",RU,Education,"Nov 13th, 2012",A+,"1,432nd","1,244th",32nd,$6.2K - $99.1K,$74.3K - $1.2M
https://yt3.ggpht.com/a/AGF-l7-CVBY848s9aR11ryrl5miBxbY4fBF3GdaSyg=s88-c-k-c0xffffffff-no-rj-mo,Lonely Λngel,679,"158,940","258,575,848",,Entertainment,"May 2nd, 2015",A+,"94,656th","26,990,859th",33rd,$1.6K - $26.3K,$19.7K - $315.3K
https://yt3.ggpht.com/a/AGF-l7_7-Eg19T_bN1P1usDEfSau3BunNGmoKuH63Q=s88-c-k-c0xffffffff-no-rj-mo,Funny Stacy,151,"13,362,482","4,127,482,950",,,"Apr 22nd, 2017",A+,268th,559th,34th,$35.5K - $567.9K,$425.9K - $6.8M
https://yt3.ggpht.com/a/AGF-l7_nQRCupGIAw-SIJiQsHAg8Cta3uYl4XbFXJg=s88-c-k-c0xffffffff-no-rj-mo,Eurovision Song Contest,"5,359","3,021,195","4,017,968,362",CH,Entertainment,"Mar 5th, 2006",A+,"3,245th",400th,35th,$6.3K - $101.2K,$75.9K - $1.2M
https://yt3.ggpht.com/a/AGF-l7-fTVkwTu4o_8Y2-RrQ5VY0nKvk-rIWpGvcAQ=s88-c-k-c0xffffffff-no-rj-mo,Agsunta,170,"714,988","233,435,698",PH,People,"Jan 4th, 2014",A+,"21,738th","1,923,138th",37th,$1.1K - $17.7K,$13.3K - $212.2K
https://yt3.ggpht.com/a/AGF-l7-5ZwU2Uhk1QBOEEssr58ZauYCJh0u5Qg4aEA=s88-c-k-c0xffffffff-no-rj-mo,ZingTV,"2,095","1,860,185","248,298,232",IN,Entertainment,"Dec 29th, 2006",A+,"6,382nd","2,407,417th",40th,$1.5K - $23.3K,$17.4K - $279.1K
https://yt3.ggpht.com/a/AGF-l7_OuJUjZWEdbJUIfhrJXAsiVCIlc9bfvnB4ow=s88-c-k-c0xffffffff-no-rj-mo,Johny FamilyShow,300,"9,233,134","3,250,691,270",US,,"Sep 4th, 2017",A+,533rd,857th,41st,$18.8K - $301K,$225.7K - $3.6M
https://yt3.ggpht.com/a/AGF-l7-NQdbfxI9mOxPjpTV5NZ34oHC56_TgbLIHAA=s88-c-k-c0xffffffff-no-rj-mo,BLACKPINK,247,"29,410,544","7,154,106,549",KR,People,"Jun 29th, 2016",A+,37th,187th,43rd,$72.3K - $1.2M,$867.4K - $13.9M
https://yt3.ggpht.com/a/AGF-l7-c82fT7vFIbGpzsK9hujUk3EH3TaBApjDWCA=s88-c-k-c0xffffffff-no-rj-mo,Fast Workers,28,"166,545","202,822,022",US,Music,"Aug 31st, 2006",A+,"90,954th","15,553rd",45th,$719 - $11.5K,$8.6K - $138K
https://yt3.ggpht.com/a/AGF-l7-GBSmCllsyxktQt0xDxIMmxyCkshDQO7jG0A=s88-c-k-c0xffffffff-no-rj-mo,SamsungIndia,142,"3,824,382","1,878,026,567",IN,Tech,"Jun 29th, 2009",A+,"2,297th","1,030th",46th,$0 - $0,$0 - $0
https://yt3.ggpht.com/a/AGF-l7_Ig-3kRzbVXf3NRh3XWDFVyzXRANCQsltkvQ=s88-c-k-c0xffffffff-no-rj-mo,5-Minute Crafts,"3,472","59,928,905","15,327,104,966",US,Howto,"Nov 15th, 2016",A+,7th,36th,47th,$123.9K - $2M,$1.5M - $23.8M
